Naziv usluge;Maloprodajna cijena;Poseban oblik prodaje;Naziv posebnog oblika prodaje;Sidrena cijena na dan 10.9.2026.
Puder obrve - ugradnja;150.00;NE;;150.00
Puder obrve - 1. korekcija;50.00;NE;;50.00
Puder obrve - korekcija;120.00;NE;;120.00
Bojanje obrva;10.00;NE;;10.00
Usne - ugradnja usana;150.00;NE;;150.00
Usne - 1. korekcija;50.00;NE;;50.00
Usne - korekcija;120.00;NE;;120.00
Eyeliner - ugradnja ;150.00;NE;;150.00
Eyeliner - 1. korekcija;30.00;NE;;30.00
Eyeliner - korekcija;120.00;NE;;120.00
Depilacija voskom - nadusnice;5.00;NE;;5.00
Depilacija voskom - lice (obrve, nadusnica, brada);12.00;NE;;12.00
Depilacija voskom - pazusi;8.00;NE;;8.00
Depilacija voskom - ruke do lakta;13.00;NE;;13.00
Depilacija voskom - ruke cijele;18.00;NE;;18.00
Depilacija voskom - bikini;13.00;NE;;13.00
Depilacija voskom - brazilska;23.00;NE;;23.00
Depilacija voskom - cijele noge;30.00;NE;;30.00
Depilacija voskom - potkoljenice;15.00;NE;;15.00
Depilacija voskom - natkoljenice;17.00;NE;;17.00
Depilacija voskom - trbuh;10.00;NE;;10.00
Depilacija voskom - muška prsa;20.00;NE;;20.00
Depilacija voskom - muška leđa;20.00;NE;;20.00
Ugradnja - trepavice 1:1;45.00;NE;;45.00
Klasične trepavice - korekcija do 2 tjedna;20.00;NE;;20.00
Klasične trepavice - korekcija do 3 tjedna;25.00;NE;;25.00
Klasične trepavice - korekcija do 4 tjedna;30.00;NE;;30.00
Ugradnja - volumenske trepavice;65.00;NE;;65.00
Volumenske trepavice - korekcija do 2 tjedna;25.00;NE;;25.00
Volumenske trepavice - korekcija do 3 tjedna;30.00;NE;;30.00
Volumenske trepavice - korekcija do 4 tjedna;40.00;NE;;40.00
Minival trepavica (lash lifting);30.00;NE;;30.00
Bojanje trepavica;10.00;NE;;10.00
Skidanje umjetnih trepavica;15.00;NE;;15.00
Dipping nokti - veličina S (ugradnja);32.00;NE;;32.00
Dipping nokti - veličina M (ugradnja);37.00;NE;;37.00
Dipping nokti - veličina L (ugradnja);42.00;NE;;42.00
Dipping nokti - veličina S (korekcija);27.00;NE;;27.00
Dipping nokti - veličina M (korekcija);30.00;NE;;30.00
Dipping nokti - veličina L (korekcija);32.00;NE;;32.00
Klasična pedikura;25.00;NE;;25.00
Klasična pedikura + trajni lak;35.00;NE;;35.00
Kraljevska pedikura (piling, parafin, krema);35.00;NE;;35.00
Kraljevska pedikura + trajni lak;45.00;NE;;45.00
Trajni lak noge;20.00;NE;;20.00
Parafin nogu;10.00;NE;;10.00
Skidanje tuđeg gela;10.00;NE;;10.00
Nail art;5.00;NE;;5.00
Trajni lak ruke;23.00;NE;;23.00
Manikura;10.00;NE;;10.00
Parafin ruku;10.00;NE;;10.00
Skidanje dippinga;10.00;NE;;10.00
Njega lica - AGGE SUMMUM;60.00;NE;;60.00
Njega lica - LIFT SUMMUM;50.00;NE;;50.00
Njega lica - HYDRA PEEL PH;45.00;NE;;45.00
Njega lica - HYDRABRASION;40.00;NE;;40.00
Njega lica - DETOXYGENE;50.00;NE;;50.00
Njega lica - PURETE EQUILIBRE;50.00;NE;;50.00
Njega lica - EYE LIFT;25.00;NE;;25.00
Njega lica - MICRONEEDLING;80.00;NE;;80.00
Njega lica - 5X DERMAROLLER + MICRONEEDLING;135.00;NE;;135.00
Parcijalna masaža leđa (30 min);30.00;NE;;30.00
Masaža cijelo tijelo;45.00;NE;;45.00
Parcijalna masaža noge (30 min);30.00;NE;;30.00
Klasična maderoterapija 1 tretman;16.00;NE;;16.00
Klasična maderoterapija Paket (5 tretmana);70.00;NE;;70.00
Klasična maderoterapija Paket (10 tretmana);130.00;NE;;130.00
Brazilska maderoterapija 1 tretman;20.00;NE;;20.00
Brazilska maderoterapija Paket (5 tretmana, gornji dio tijela);80.00;NE;;80.00
Brazilska maderoterapija Paket (10 tretmana, gornji dio tijela);170.00;NE;;170.00
Brazilska maderoterapija Paket (5 tretmana, donji dio tijela);90.00;NE;;90.00
Brazilska maderoterapija Paket (10 tretmana, donji dio tijela);180.00;NE;;180.00
Elektrostimulacija mišića (60 min);15.00;NE;;15.00
Odijelo za limfnu drenažu (60 min);15.00;NE;;15.00
